"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"tibble","tibble","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.3",NA,"R (>= 3.1.0)","cli, crayon (>= 1.3.4), fansi (>= 0.4.0), methods, pillar (>=
1.3.1), pkgconfig, rlang (>= 0.3.0), utils",NA,"bench, covr, dplyr, htmltools, import, knitr, mockr,
nycflights13, rmarkdown, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"tidyr","tidyr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8.3",NA,"R (>= 3.1)","dplyr (>= 0.7.0), glue, magrittr, purrr, Rcpp, rlang, stringi,
tibble, tidyselect (>= 0.2.5), utils","Rcpp","covr, gapminder, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"tidyselect","tidyselect","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.5",NA,"R (>= 3.1)","glue (>= 1.3.0), purrr, rlang (>= 0.2.2), Rcpp (>= 0.12.0)","Rcpp (>= 0.12.0),","covr, dplyr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"tidytree","tidytree","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.4",NA,"R (>= 3.4.0)","ape, dplyr, lazyeval, magrittr, methods, rlang, tibble, utils",NA,"ggtree, knitr, prettydoc, testthat, treeio",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"tidyverse","tidyverse","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.1",NA,NA,"broom (>= 0.4.2), cli (>= 1.0.0), crayon (>= 1.3.4), dplyr (>=
0.7.4), dbplyr (>= 1.1.0), forcats (>= 0.2.0), ggplot2 (>=
2.2.1), haven (>= 1.1.0), hms (>= 0.3), httr (>= 1.3.1),
jsonlite (>= 1.5), lubridate (>= 1.7.1), magrittr (>= 1.5),
modelr (>= 0.1.1), purrr (>= 0.2.4), readr (>= 1.1.1), readxl
(>= 1.0.0), reprex (>= 0.1.1), rlang (>= 0.1.4), rstudioapi (>=
0.7), rvest (>= 0.3.2), stringr (>= 1.2.0), tibble (>= 1.3.4),
tidyr (>= 0.7.2), xml2 (>= 1.1.1)",NA,"feather (>= 0.3.1), knitr (>= 1.17), rmarkdown (>= 1.7.4)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"timeDate","timeDate","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3043.102",NA,"R (>= 2.15.1), graphics, utils, stats, methods",NA,NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"tinytex","tinytex","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.14",NA,NA,"xfun (>= 0.5)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"tmap","tmap","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.2",NA,"R (>= 3.0), methods","tmaptools (>= 2.0-1), sf (>= 0.7-1), units (>= 0.6-1), raster
(>= 2.7-15), grid, RColorBrewer, viridisLite, classInt,
htmltools, htmlwidgets, leaflet (>= 2.0.2), mapview, stats",NA,"lwgeom (>= 0.1-4), rmapshaper, rmarkdown, knitr, png,
cartogram, osmdata, ggplot2, dplyr, tidyr, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"tmaptools","tmaptools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0-1",NA,"R (>= 3.0), methods","sp, sf (>= 0.6-0), lwgeom (>= 0.1-4), units (>= 0.5-1), grid,
raster (>= 2.5-2), rgdal, rgeos, classInt, KernSmooth,
magrittr, RColorBrewer, viridisLite, stats, dichromat, XML",NA,"tmap (>= 2.0), rmapshaper, osmdata, OpenStreetMap, png,
shiny, shinyjs",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"TMB","TMB","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7.15",NA,"R (>= 3.0.0)","graphics, methods, stats, utils, Matrix (>= 1.0-12)","Matrix, RcppEigen","numDeriv, parallel",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"tools","tools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark",NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"treeio","treeio","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8.1",NA,"R (>= 3.4.0)","ape, dplyr, jsonlite, magrittr, methods, rlang, tibble,
tidytree (>= 0.2.3), utils",NA,"Biostrings, ggplot2, ggtree, knitr, phangorn, prettydoc,
testthat, tidyr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"treeman","treeman","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.3",NA,"R (>= 3.2.4), methods","plyr, ape, RJSONIO, stringr, bigmemory",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"triebeard","triebeard","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.0",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"trimcluster","trimcluster","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1-2.1",NA,"R (>= 1.9.0)",NA,NA,"fpc",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"truncnorm","truncnorm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-8",NA,"R (>= 3.4.0)",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"tseries","tseries","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.10-47",NA,"R (>= 2.10.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"TTR","TTR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.23-4",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"tweenr","tweenr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.3), grDevices, farver, magrittr, rlang","Rcpp","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"ucminf","ucminf","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-4",NA,NA,NA,NA,"numDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"units","units","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6-3",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","udunits2, NISTunits, measurements, xml2, tibble, pillar (>=
1.3.0), knitr, testthat, ggforce, rmarkdown, magrittr",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"UpSetR","UpSetR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.0",NA,"R (>= 3.0)","ggplot2, gridExtra, plyr, utils, stats, methods, grDevices,
scales",NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"urca","urca","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3-0",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"urltools","urltools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"usedist","usedist","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.0",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"usethis","usethis","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5.1",NA,"R (>= 3.2)","clipr (>= 0.3.0), clisymbols, crayon, curl (>= 2.7), desc, fs
(>= 1.3.0), gh, git2r (>= 0.23), glue (>= 1.3.0), purrr, rlang,
rprojroot (>= 1.2), rstudioapi, stats, utils, whisker, withr,
yaml",NA,"covr, knitr, magick, pkgdown (>= 1.1.0), rmarkdown, roxygen2,
spelling (>= 1.2), styler (>= 1.0.2), testthat (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"utf8","utf8","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.4",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, testthat",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"utils","utils","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,NA,NA,"methods, xml2, commonmark",NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"uuid","uuid","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1-2",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"vcfR","vcfR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8.0",NA,"R (>= 3.0.1)","ape, dplyr, graphics, grDevices, magrittr, memuse, methods,
pinfsc50, Rcpp, stats, stringr, tibble, utils, vegan,
viridisLite","Rcpp","adegenet, ggplot2, knitr, poppr, reshape2, rmarkdown, scales,
testthat, tidyr",NA,"GPL",NA,NA,NA,NA,"yes","3.6.0"
"vctrs","vctrs","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.0",NA,"R (>= 3.2)","backports, ellipsis (>= 0.2.0), digest, glue, rlang (>=
0.4.0), zeallot",NA,"bit64, covr, crayon, generics, knitr, pillar (>= 1.4.1),
pkgdown, rmarkdown, testthat, tibble",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"vegan","vegan","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.5-5",NA,"permute (>= 0.9-0), lattice, R (>= 3.4.0)","MASS, cluster, mgcv",NA,"parallel, tcltk, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"vipor","vipor","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.5",NA,"R (>= 3.0.0)","stats, graphics",NA,"testthat, beeswarm, lattice, ggplot2, beanplot, vioplot,
ggbeeswarm,",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"viridis","viridis","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.1",NA,"R (>= 2.10), viridisLite (>= 0.3.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, rasterVis, httr, mapproj, vdiffr, svglite (>=
1.2.0), testthat, covr, rmarkdown, rgdal",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"viridisLite","viridisLite","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.0",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"visNetwork","visNetwork","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0.7",NA,"R (>= 3.0)","htmlwidgets, htmltools, jsonlite, magrittr, utils, methods,
grDevices, stats",NA,"knitr, rmarkdown, webshot, igraph, rpart, shiny,
shinyWidgets, colourpicker, sparkline, ggraph, flashClust",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"webshot","webshot","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.1",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"whisker","whisker","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3-2",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"withr","withr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.2",NA,"R (>= 3.0.2)","stats, graphics, grDevices",NA,"testthat, covr, lattice, DBI, RSQLite, methods, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"xfun","xfun","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8",NA,NA,"stats, tools",NA,"testit, parallel, rstudioapi, tinytex, mime, markdown, knitr,
htmltools, base64enc, remotes, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"xlsx","xlsx","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6.1",NA,NA,"rJava, xlsxjars, grDevices, utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"xlsxjars","xlsxjars","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6.1",NA,"rJava",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"XML","XML","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.98-1.20",NA,"R (>= 2.13.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"xml2","xml2","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.0",NA,"R (>= 3.1.0)","Rcpp","Rcpp (>= 0.12.12)","testthat, curl, covr, knitr, rmarkdown, magrittr, httr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"xopen","xopen","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"xtable","xtable","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"xts","xts","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.11-2",NA,"zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, fts, tis, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"XVector","XVector","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.24.0",NA,"R (>= 2.8.0), methods, BiocGenerics (>= 0.19.2), S4Vectors (>=
0.21.13), IRanges (>= 2.15.12)","methods, utils, zlibbioc, BiocGenerics, S4Vectors, IRanges","S4Vectors, IRanges","Biostrings, drosophila2probe, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"yaml","yaml","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.2.0",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"zeallot","zeallot","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, purrr, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"zip","zip","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0.3",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"CC0",NA,NA,NA,NA,"yes","3.6.0"
"zlibbioc","zlibbioc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.30.0",NA,NA,NA,NA,NA,NA,"Artistic-2.0 + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"zoo","zoo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8-6",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"coda, chron, DAAG, fts, ggplot2, mondate, scales,
strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
